,Genre,avg_precision,avg_recall,avg_f1_score
0,Blues,0.6524999737739563,0.6114999651908875,0.6228000521659851
1,Classical,0.8930999636650085,0.8110000491142273,0.8473999500274658
2,Country,0.5726000070571899,0.6335000395774841,0.5934000611305237
3,Disco,0.5666000247001648,0.6125999689102173,0.5809999704360962
4,Hiphop,0.6576000452041626,0.5055000185966492,0.564799964427948
5,Jazz,0.6761000156402588,0.814300000667572,0.7354999780654907
6,Metal,0.7035999298095703,0.8579999804496765,0.7689999341964722
7,Pop,0.7826000452041626,0.7353000044822693,0.7544000148773193
8,Reggae,0.5785999894142151,0.6217999458312988,0.5941000580787659
9,Rock,0.3666999936103821,0.2679000198841095,0.3034000098705292
