,Genre,avg_precision,avg_recall,avg_f1_score
0,Blues,0.7200000286102295,0.7254999876022339,0.7120000123977661
1,Classical,0.9254999160766602,0.8279999494552612,0.8715000152587891
2,Country,0.6014999151229858,0.6665000319480896,0.6269999742507935
3,Disco,0.563499927520752,0.7129999995231628,0.6239999532699585
4,Hiphop,0.7240000367164612,0.6014999747276306,0.6520000696182251
5,Jazz,0.6769999861717224,0.8619998693466187,0.7555000185966492
6,Metal,0.7535000443458557,0.8209999799728394,0.781999945640564
7,Pop,0.7710000276565552,0.703000009059906,0.7315000295639038
8,Reggae,0.653499960899353,0.6345000267028809,0.6410000324249268
9,Rock,0.5024999380111694,0.34700000286102295,0.4039999842643738
